Código Subclassificação	Nome Subclassificação	Código Classificação
55602	2733.2090 Fios, cabos ou condutores de alumínio ou de outros metais, isolados, para bobinar; exceto de cobre	1264
55603	2733.9010 Serviço de produção de fios, cabos e condutores elétricos isolados e serviços industriais relacionados	1264
55604	2740 Fabricação de lâmpadas e outros equipamentos de iluminação	1264
55605	2740.2005 Aparelhos de iluminação ou de sinalização visual para bicicletas	1264
55606	2740.2010 Aparelhos elétricos de outros tipos para iluminação	1264
55607	2740.2020 Aparelhos não elétricos de iluminação	1264
55608	"2740.2030 Lâmpadas ou projetores, em unidades seladas (p. ex. ""Sealed Beam"")"	1264
55609	2740.2040 Lâmpadas ou tubos de raios ultravioleta ou infravermelhos, inclusive lâmpadas de arco	1264
55610	2740.2050 Lâmpadas e tubos incandescentes de halógenos, de tungstênio e de outros tipos; exceto de raios ultravioleta e infravermelho	1264
55611	2740.2060 Lâmpadas fluorescentes, inclusive fluorescentes compactas eletrônicas	1264
55612	2740.2070 Lâmpadas de vapor de mercúrio ou de sódio ou lâmpadas de halogeneto metálico	1264
55613	2740.2075 Lâmpadas LED	1264
55614	2740.2080 Lâmpadas ou tubos de descarga, n.e., exceto de raios ultravioleta	1264
55615	2740.2100 Lanternas manuais	1264
55616	2740.2110 Lustres, luminárias, abajures e outros aparelhos de iluminação elétrica	1264
55617	2740.2120 Partes e peças para lanternas e aparelhos de iluminação; exceto de plástico e vidro	1264
55618	2740.2130 Partes e peças para reatores para lâmpadas e tubos de descarga	1264
55619	2740.2140 Partes e peças para lâmpada e tubos elétricos incandescentes, etc.	1264
55620	2740.2150 Reatores para lâmpadas ou tubos de descarga	1264
55621	2740.9010 Serviço de produção de lâmpadas, luminárias e outros equipamentos de iluminação, inclusive partes e serviços industriais relacionados	1264
55622	2751 Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico	1264
55623	2751.2005 Fogões de cozinha elétricos ou não elétricos (inclusive cooktop), para uso doméstico; exceto churrasqueiras, braseiros, fornos e fogareiros não elétricos	1264
55624	2751.2020 Fornos de micro-ondas	1264
55625	2751.2030 Máquinas de lavar ou secar roupa para uso doméstico	1264
55626	2751.2040 Máquinas de lavar louça para uso doméstico	1264
55627	2751.2050 Partes e peças para máquinas de lavar louça para uso doméstico	1264
55628	2751.2060 Partes e peças para máquinas de lavar roupa para uso doméstico	1264
55629	2751.2070 Partes e peças para fogões de cozinha elétricos ou não elétricos, para uso doméstico	1264
55630	2751.2080 Partes e peças para fornos de micro-ondas	1264
55631	2751.2090 Partes e peças para refrigeradores ou congeladores (freezers) para uso doméstico	1264
55632	2751.2100 Refrigeradores ou congeladores (freezers), inclusive combinados, para uso doméstico	1264
55633	2751.2110 Tanques elétricos para lavar roupas (tanquinho), para uso doméstico	1264
55634	2751.9010 Serviço de produção de fogões, micro-ondas, refrigeradores e máquinas de lavar e secar para uso doméstico, inclusive peças e serviços industriais relacionados	1264
55635	2759 Fabricação de aparelhos eletrodomésticos não especificados anteriormente	1264
55636	2759.2010 Aparelhos elétricos de outros tipos para aquecimento de ambientes, inclusive radiadores de acumulação	1264
55637	2759.2025 Aparelhos não elétricos para cozinhar ou aquecer alimentos, para uso doméstico (churrasqueiras, fogareiros à gás, etc.), exceto fogões de cozinha não elétricos	1264
55638	2759.2027 Aparelhos não elétricos para aquecer ambientes (lareiras, braseiros, calefatores, etc.) e para cozinhar ou aquecer alimentos (churrasqueiras, fogareiros, etc.), de uso doméstico, exceto fogões de cozinha não elétricos	1264
55639	2759.2030 Aquecedores elétricos de água, inclusive os de imersão, para uso doméstico; exceto chuveiros elétricos	1264
55640	2759.2040 Aspiradores de pó	1264
55641	2759.2050 Barbeadores; máquinas de depilar ou cortar cabelo, com motor elétrico	1264
55642	2759.2060 Cafeteiras e outros aparelhos para preparação de café ou de chá, eletrotérmicos, para uso doméstico	1264
55643	2759.2070 Chuveiros e duchas completas, elétricos	1264
55644	2759.2080 Exaustores, inclusive coifas, para uso doméstico	1264
55645	2759.2090 Cobertores ou mantas elétricos	1264
55646	2759.2100 Eletroportáteis domésticos, n.e.	1264
55647	2759.2110 Ferros elétricos de passar	1264
55648	2759.2120 Filtros, depuradores, ozonizadores e semelhantes para uso doméstico	1264
55649	2759.2130 Fornos, fogareiros, churrasqueiras, etc., elétricos, para uso doméstico; exceto forno de micro-ondas	1264
55650	2759.2140 Geradores ou distribuidores, não elétricos e suas partes, de ferro fundido, ferro ou aço	1264
55651	2759.2150 Panelas ou fritadeiras elétricas para uso doméstico	1264
55652	2759.2160 Partes e peças para aquecedores elétricos de água, inclusive os de imersão	1264
55653	2759.2170 Partes e peças para eletrodomésticos	1264
55654	2759.2180 Partes e peças para fornos, aquecedores de alimentos e aparelhos domésticos não elétricos semelhantes	1264
55655	2759.2190 Partes e peças para máquinas de barbear, depilar e cortar cabelo e semelhantes, com motor elétrico	1264
55656	2759.2200 Resistências elétricas de aquecimento	1264
55657	2759.2210 Secadores e outros aparelhos para cuidados do cabelo; aparelhos para secar as mãos	1264
55658	2759.2220 Torradeiras de pão e sanduicheiras (eletrotérmicos) para uso doméstico, inclusive grill elétrico	1264
55659	2759.2230 Trituradores e misturadores de alimentos (liquidificadores, espremedores de frutas, batedeiras e semelhantes), para uso doméstico	1264
55660	2759.2240 Ventiladores ou circuladores para uso doméstico	1264
55661	2759.9010 Serviço de produção de aparelhos eletrodomésticos, inclusive peças e serviços industriais relacionados	1264
55662	2790 Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente	1264
55663	2790.2010 Acoplamentos, embreagens, placas, mandris, dispositivos eletromagnéticos, suas partes e peças	1264
55664	2790.2020 Amplificadores de radiofrequência	1264
55665	2790.2030 Aparelhos elétricos de alarme, para proteção contra roubo ou incêndio e aparelhos semelhantes	1264
55666	2790.2040 Aparelhos elétricos de outros tipos para sinalização acústica ou visual (campainhas, sirenes e semelhantes)	1264
55667	2790.2050 Aparelhos elétricos de sinalização, de segurança, para controle de tráfego de vias férreas, terrestres, fluviais, etc., (p.ex. “lombadas eletrônicas”)	1264
55668	2790.2060 Aparelhos para galvanoplastia, eletrólise ou eletroforese	1264
55669	2790.2063 Capacitores (condensadores) fixos para linhas elétricas qualquer dielétrico	1264
55670	2790.2065 Capacitores variáveis ou ajustáveis	1264
55671	2790.2070 Cartões e etiquetas de acionamento por aproximação	1264
55672	2790.2075 Controle remoto para aparelhos eletroeletrônicos	1264
55673	2790.2080 Desperdícios e resíduos de pilhas, baterias e acumuladores elétricos	1264
55674	2790.2090 Eletrodos, escovas e outros artigos de carvão ou grafita para usos elétricos	1264
55675	2790.2100 Eletroímãs	1264
55676	2790.2110 Equipamentos de outros tipos para estúdio	1264
55677	2790.2120 Geradores de sinais elétricos	1264
55678	2790.2130 Ímãs permanentes, mantas e outros artefatos semelhantes com propriedades magnéticas	1264
55679	2790.2140 Isoladores para uso elétrico, exceto de vidro e cerâmicos	1264
55680	2790.2150 Máquinas e aparelhos auxiliares para vídeo (geradores de efeitos especiais e de caracteres digitais, controlador de edição, misturador digital, etc.)	1264
55681	2790.2160 Máquinas tomadoras de votos ou de apostas	1264
55682	2790.2175 Máquinas ou aparelhos elétricos, com função própria, n.e.	1264
55683	2790.2180 Núcleos de pó ferromagnético	1264
55684	2790.2190 Painéis indicadores a cristais líquidos ou diodos emissores de luz	1264
55685	2790.2200 Partes e peças para aparelhos elétricos para sinalização e alarme	1264
55686	2790.2205 Partes ou peças para capacitores elétricos fixos, variáveis, ajustáveis	1264
55687	2790.2210 Partes e peças para máquinas e aparelhos elétricos, n.e.	1264
55688	2790.2215 Partes e peças para resistores elétricos	1264
55689	2790.2218 Resistores (resistências) elétricos, incluídos os reostatos ou potenciômetros, exceto resistências de aquecimento	1264
55690	2790.2220 Transcodificador ou conversor de padrões de televisão	1264
55691	2790.2230 Tubos isolantes e suas peças, para máquinas, aparelhos e instalações elétricas, exceto de cerâmica ou de plástico	1264
55692	2790.9010 Serviços de instalação e montagem de aparelhos e equipamentos elétricos, n.e., quando executados pela unidade fabricante	1264
55693	2790.9020 Serviço de produção de outros equipamentos elétricos, inclusive peças e serviços industriais relacionados	1264
55694	2811 Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários	1264
55695	2811.2010 Máquinas motrizes, n.e.	1264
55696	2811.2015 Motores e dispositivos eólicos para geração de força motriz, exceto aerogeradores para geração de energia elétrica por fonte eólica; e outras máquinas motrizes n.e.	1264
55697	2811.2020 Motores para tratores de pistão, de ignição por compressão (diesel ou semidiesel)	1264
55698	2811.2025 Motores de pistão, de ignição por compressão (diesel ou semidiesel) para máquinas ou equipamentos industriais (estacionários) e veículos ferroviários	1264
55699	2811.2028 Motores para tratores de pistão, alternativo ou rotativo, de ignição por centelha	1264
55700	2811.2030 Motores a explosão para propulsão de embarcações	1264
55701	2811.2080 Partes ou peças de motores a explosão ou de motores estacionários diesel ou semidiesel para máquinas ou equipamentos industriais	1264
55702	2811.2090 Partes e peças para turbinas a vapor	1264
55703	2811.2100 Partes e peças para turbinas a gás; partes e peças para máquinas motrizes n.e.	1264
55704	2811.2110 Partes e peças para turbinas e rodas hidráulicas	1264
55705	2811.2120 Turbinas a gás, n.e.	1264
55706	2811.2130 Turbinas a vapor	1264
55707	2811.2140 Turbinas e rodas hidráulicas	1264
55708	2811.2150 Turbinas, motores e outros dispositivos eólicos	1264
55709	2811.9025 Serviços de instalação e montagem de motores estacionários e outras máquinas motrizes não elétricas, quando executados pela unidade fabricante	1264
55710	2811.9030 Serviço de produção de motores estacionários e outras máquinas motrizes não elétricas, inclusive peças e serviços industriais relacionados	1264
55711	2812 Fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas	1264
55712	2812.2010 Bombas centrífugas, n.e., inclusive eletrobombas	1264
55713	2812.2020 Bombas de ar ou de vácuo	1264
55714	2812.2030 Bombas para líquidos, combustíveis e lubrificantes, n.e., inclusive bombas para concreto	1264
55715	2812.2040 Bombas volumétricas alternativas	1264
55716	2812.2050 Bombas volumétricas rotativas	1264
55717	2812.2060 Carneiros hidráulicos	1264
55718	2812.2070 Motores e cilindros hidráulicos, inclusive de movimento retilíneo	1264
55719	2812.2080 Motores e cilindros pneumáticos, inclusive de movimento retilíneo	1264
55720	2812.2090 Partes e peças para bombas de ar ou de vácuo	1264
55721	2812.2100 Partes e peças para bombas para líquidos, combustíveis e lubrificantes	1264
55722	2812.2110 Partes e peças para equipamentos hidráulicos e pneumáticos	1264
55723	2812.9010 Serviços de instalação e montagem de bombas e outros equipamentos hidráulicos e pneumáticos, exceto válvulas; quando executados pela unidade fabricante	1264
55724	2812.9020 Serviço de produção de bombas e carneiros hidráulicos, inclusive peças e serviços industriais relacionados	1264
55725	2813 Fabricação de válvulas, registros e dispositivos semelhantes	1264
55726	2813.2010 Partes e peças para válvulas, torneiras e registros	1264
55727	2813.2020 Válvulas de expansão termostáticas ou pressostáticas	1264
55728	2813.2030 Válvulas de segurança ou de alívio	1264
55729	2813.2040 Válvulas redutoras de pressão	1264
55730	2813.2050 Válvulas de retenção	1264
55731	2813.2060 Válvulas solenóides	1264
55732	2813.2070 Válvulas tipo borboleta	1264
55733	2813.2080 Válvulas tipo esfera	1264
55734	2813.2090 Válvulas tipo gaveta	1264
55735	2813.2100 Válvulas tipo globo	1264
55736	2813.2110 Válvulas tipo macho	1264
55737	2813.2120 Válvulas e dispositivos semelhantes para transmissão óleo-hidráulicas ou pneumáticas	1264
55738	"2813.2132 Torneiras, registros e dispositivos semelhantes, válvulas n.e. - inclusive hidráulicos e pneumáticas, exceto ""árvores de natal molhadas"" para oleodutos (pipe-lines)"	1264
55739	2813.9010 Serviços de instalação e montagem de válvulas industriais, quando executados pela unidade fabricante	1264
55740	2813.9020 Serviço de produção de válvulas, torneiras e registros, inclusive peças e serviços industriais relacionados	1264
55741	2814 Fabricação de compressores	1264
55742	2814.2010 Compressores usados em aparelhos de refrigeração comerciais ou domésticos	1264
55743	2814.2020 Compressores de ar montados sobre chassis com rodas e rebocáveis.	1264
55744	"2814.2030 Compressores de ar, de lóbulos paralelos (""roots""), de parafuso, estacionários, de pistão e outros n.e."	1264
55745	2814.2040 Compressores de gases, do tipo: de pistão, de parafuso, centrífugos, ou outros n.e.	1264
55746	2814.2050 Partes e peças para compressores ou turbocompressores n.e.	1264
55747	2814.2060 Turboalimentadores (turbocompressores) de ar para motor a explosão ou diesel	1264
55748	2814.9010 Serviços de instalação e montagem de compressores, quando executados pela unidade fabricante	1264
55749	2814.9020 Serviço de produção de compressores, inclusive peças e serviços industriais relacionados	1264
55750	2815 Fabricação de equipamentos de transmissão para fins industriais	1264
55751	2815.2010 Caixas de transmissão e redutores e variadores de velocidade para fins industriais	1264
55752	2815.2020 Corrente de transmissão para fins industriais	1264
55753	2815.2030 Embreagens, dispositivos de acoplamento e juntas de articulação para fins industriais	1264
55754	2815.2040 Engrenagens ou rodas de fricção, eixos de esferas ou roletes para fins industriais	1264
55755	2815.2050 Partes ou peças para corrente de transmissão para fins industriais	1264
55756	2815.2060 Partes e peças para mancais, engrenagens, variadores de velocidade, e outros equipamentos de transmissão para fins industriais	1264
55757	2815.2070 Partes e peças para rolamentos de esferas, de agulhas ou de cilindros	1264
55758	2815.2080 Rolamentos de esferas, de agulhas, de cilindros ou de roletes, inclusive cônicos	1264
55759	2815.2090 Virabrequins, eixos e mancais para fins industriais	1264
55760	2815.2100 Volantes ou polias para fins industriais	1264
55761	2815.9010 Serviço de produção de equipamentos de transmissão para fins industriais, inclusive peças e serviços industriais relacionados	1264
55762	2821 Fabricação de aparelhos e equipamentos para instalações térmicas	1264
55763	2821.2010 Aparelhos para tratamento térmico de materiais	1264
55764	2821.2020 Aquecedores de água não elétricos de aquecimento instantâneo a gás ou de acumulação, exceto aquecedores solares	1264
55765	2821.2030 Aquecedores solares de água	1264
55766	2821.2040 Estufas industriais não elétricas	1264
55767	2821.2050 Fornos de indução industriais	1264
55768	2821.2060 Fornos industriais elétricos e aparelhos semelhantes	1264
55769	2821.2070 Fornos industriais não elétricos, exceto para padarias	1264
55770	2821.2080 Partes e peças para aparelhos para tratamento térmico de materiais	1264
55771	2821.2090 Partes e peças para estufas industriais não elétricas	1264
55772	2821.2110 Partes e peças para fornos industriais elétricos e aparelhos semelhantes	1264
55773	2821.2120 Partes e peças para fornos industriais não elétricos	1264
55774	2821.2130 Partes e peças para queimadores, fornalhas, grelhas e dispositivos semelhantes	1264
55775	2821.2140 Partes e peças para aquecedores de água, a gás ou energia solar	1264
55776	2821.2150 Queimadores para alimentar fornalhas, de combustíveis líquidos	1264
55777	2821.2160 Queimadores, fornalhas automáticas, grelhas mecânicas e dispositivos semelhantes	1264
55778	2821.2170 Queimadores para alimentação de fornalhas, de combustíveis em geral; fornalhas automáticas, incluindo as antefornalhas, grelhas mecânicas e dispositivos semelhantes	1264
55779	2821.9010 Serviços de instalação e montagem de máquinas, aparelhos e equipamentos para instalações térmicas, n.e., quando executados pela unidade fabricante	1264
55780	2821.9020 Serviço de produção de equipamentos para instalações térmicas, inclusive peças e serviços industriais relacionados	1264
55781	2822 Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas	1264
55782	2822.2010 Aparelhos elevadores ou transportadores, de ação contínua, pneumáticos e outros, para mercadorias	1264
55783	2822.2020 Aparelhos para empurrar vagonetas de minas ou manipular veículos ferroviários	1264
55784	2822.2030 Caçambas, pás, ganchos, etc., para movimentação de cargas	1264
55785	2822.2040 Guindastes, pontes e vigas rolantes, pórticos, pontes-guindastes e carros-pórticos	1264
55786	2822.2050 Elevadores e monta-cargas, exceto para o transporte de pessoas	1264
55787	2822.2060 Elevadores para o transporte de pessoas	1264
55788	2822.2070 Empilhadeiras propulsoras	1264
55789	2822.2080 Escadas e tapetes rolantes	1264
55790	2822.2090 Esteiras para linha de montagem	1264
55791	2822.2100 Macacos hidráulicos ou pneumáticos, inclusive para veículos	1264
55792	2822.2110 Máquinas e aparelhos para desembarque de botes salva-vidas, etc.	1264
55793	2822.2115 Máquinas e aparelhos para elevação de carga, descarga ou de movimentação, n.e.	1264
55794	2822.2120 Máquinas e aparelhos para elevação de carga, descarga, etc., n.e.	1264
55795	2822.2130 Máquinas para transporte e elevação, n.e.	1264
55796	2822.2135 Partes e peças para aparelhos de elevação e manipulação, n.e., exceto para elevadores	1264
55797	2822.2140 Partes e peças para aparelhos elevadores ou transportadores, de ação contínua, pneumáticos e outros, para mercadorias	1264
55798	2822.2150 Partes e peças para elevadores	1264
55799	2822.2160 Partes e peças para empilhadeiras propulsoras	1264
55800	2822.2170 Partes e peças para máquinas e aparelhos de elevação e manipulação, n.e.	1264
55801	2822.2180 Partes e peças para talhas, guinchos, macacos, pórticos e guindastes	1264
55802	2822.2190 Partes e peças para veículos sem dispositivo para elevação, utilizado em fábricas	1264
55803	2822.2200 Talhas, cadernais e moitões; guinchos e cabrestantes	1264
55804	2822.2210 Teleféricos e mecanismos de tração para funiculares	1264
55805	2822.2220 Veículos sem dispositivo para elevação, utilizado em fábricas	1264
55806	2822.9005 Serviços de instalação e montagem de elevadores para transporte de pessoas e escadas rolantes, etc., quando executados pela unidade fabricante	1264
55807	2822.9008 Serviços de instalação e montagem de máquinas e aparelhos para transporte e elevação de cargas, elevadores de carga, etc., quando executados pela unidade fabricante; exceto para transporte de pessoas	1264
55808	2822.9020 Serviço de produção e máquinas e equipamentos para transporte e elevação de cargas e pessoas, inclusive peças e serviços industriais relacionados	1264
55809	2823 Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial	1264
55810	2823.2010 Aparelhos e dispositivos para liquefação do ar ou outros gases	1264
55811	2823.2020 Congeladores (freezers) para usos industrial e comercial	1264
55812	2823.2030 Grupos frigoríficos de compressão com capacidade inferior ou igual a 120.000 BTUs utilizados para equipar refrigeradores não domésticos ou outros móveis ou conjuntos frigoríficos	1264
55813	2823.2040 Gabinetes ou móveis concebidos para receber equipamento para produção de frio	1264
55814	2823.2050 Máquinas para conservação de sorvetes, não domésticas	1264
55815	2823.2060 Máquinas para produção de frio e bombas de calor, n.e. (p. ex. Resfriadores de água de absorção por brometo de lítio, máquinas para produção de gelo, chilleres para resfriamento de líquidos, etc.)	1264
55816	2823.2065 Arcas, armários, vitrines, balcões e móveis semelhantes para a conservação e exposição de produtos, que incorporem um equipamento para a produção de frio para usos industrial e comercial	1264
55817	2823.2070 Grupos de compressão, cujo condensador seja constituído por um trocador de calor, n.e.	1264
55818	2823.2080 Partes e peças para refrigeradores, congeladores e semelhantes para uso industrial e comercial	1264
55819	2823.2090 Partes e peças para ventiladores e coifas para uso industrial	1264
55820	2823.2100 Recipiente refrigerador, com circulação de fluido refrigerador	1264
55821	2823.2120 Resfriadores de leite	1264
55822	2823.2130 Unidades fornecedoras de água ou sucos, inclusive bebedouros	1264
55823	2823.2140 Unidades fornecedoras de bebidas carbonatadas	1264
55824	2823.2150 Ventiladores e coifas (exaustores) para uso industrial	1264
55825	2823.9010 Serviços de instalação e montagem de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, n.e., quando executados pela unidade fabricante	1264
55826	2823.9020 Serviço de produção de máquinas e equipamentos de refrigeração e ventilação de uso industrial, inclusive peças e serviços industriais relacionados	1264
55827	2824 Fabricação de aparelhos e equipamentos de ar condicionado	1264
55828	2824.2010 Aparelhos de ar condicionado de paredes, de janelas ou transportáveis, inclusive os do tiposplit system	1264
55829	2824.2020 Aparelhos de ar condicionado para veículos	1264
55830	2824.2030 Aparelhos ou equipamentos de ar condicionado para uso central	1264
55831	"2824.2040 Partes e peças para aparelhos de ar condicionado (p. ex. Unidades evaporadoras ou condensadoras de aparelho tipo ""split-system""), inclusive para veículos"	1264
55832	2824.9010 Serviço de produção de aparelhos de ar condicionado, inclusive peças e serviços industriais relacionados	1264
55833	2825 Fabricação de máquinas e equipamentos para saneamento básico e ambiental	1264
55834	2825.2010 Equipamentos para tratamento de águas industriais e domésticas	1264
55835	2825.2020 Equipamentos para tratamento de efluentes industriais e esgoto sanitário	1264
55836	2825.2030 Equipamentos para tratamento do ar	1264
55837	2825.2040 Máquinas e equipamentos para saneamento básico e ambiental, n.e.	1264
55838	2825.2050 Peças e acessórios para máquinas e equipamentos para saneamento básico e ambiental	1264
55839	2825.9010 Serviços de instalação e montagem de máquinas e equipamentos para saneamento básico e ambiental, quando executados pela unidade fabricante	1264
55840	2829 Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente	1264
55841	2829.2015 Aparelhos de impressão, de fotocópia, por sistema óptico ou por contato, ou aparelhos de termocópia, para escritório	1264
55842	2829.2020 Aparelhos para destilação ou retificação (de água, álcoois, etc.)	1264
55843	2829.2030 Aparelhos para filtrar ou depurar líquidos; exceto de óleo ou de combustível para motores de veículos automotores	1264
55844	2829.2040 Aparelhos para preparação de bebidas quentes	1264
55845	"2829.2050 Aparelhos para projetar, espalhar, pulverizar (p. ex., robôs para pintura,  válvula do tipo aerossol, tampa de spray, atomizadores ou ""spray drayer"", etc.), exceto para agricultura"	1264
55846	2829.2060 Apontadores mecânicos para lápis, perfuradores, grampeadores ou semelhantes	1264
55847	2829.2070 Balanças para pesagem, dosagem ou contagem	1264
55848	2829.2083 Calandras e laminadores para borracha, plástico, têxtil, couro, etc.	1264
55849	2829.2085 Calandras e laminadores para papel ou papel-cartão	1264
55850	2829.2087 Calandras para lavanderias	1264
55851	2829.2100 Carrosséis, balanços, instalações de tiro ao alvo e outros equipamentos para parques e feiras	1264
55852	2829.2110 Centrifugador para laboratório de análise, ensaio ou pesquisa científica	1264
55853	2829.2120 Centrifugadores, n.e.	1264
55854	2829.2130 Esterilizadores, exceto médico-cirúrgicos ou de laboratório	1264
55855	2829.2140 Extintores de incêndio	1264
55856	2829.2150 Filtros de ar para motores à explosão ou diesel estacionários, para máquinas e equipamentos	1264
55857	2829.2160 Filtros eletrostáticos e outros aparelhos para filtrar ou depurar gases	1264
55858	2829.2180 Geradores de gás de ar ou de gás de água, geradores de acetileno e geradores semelhantes de gás	1264
55859	2829.2185 Hemodialisador	1264
55860	2829.2190 Juntas metaloplásticas, juntas de vedação mecânicas e outras, inclusive selos mecânicos	1264
55861	2829.2200 Máquinas, aparelhos e equipamentos de uso geral	1264
55862	2829.2210 Máquinas automáticas para venda de produtos	1264
55863	2829.2215 Máquinas de calcular eletrônicas, calculadoras eletrônicas de bolso e agendas eletrônicas	1264
55864	2829.2225 Máquinas de contabilidade, máquinas de franquear, de emitir bilhetes e máquinas semelhantes; caixas registradoras eletrônicas, inclusive máquinas para pagamento eletrônico por meio de cartão de crédito ou de débito	1264
55865	2829.2230 Máquinas de escrever, inclusive automáticas; máquinas para tratamento de textos	1264
55866	2829.2240 Máquinas de lavar louças, exceto para uso doméstico	1264
55867	2829.2250 Máquinas de limpeza ou polimento por jato de água, areia, esferas de vidro, granalha de aço	1264
55868	2829.2270 Máquinas e aparelhos para desobstrução de tubulação	1264
55869	2829.2275 Máquinas e aparelhos para escritório, n.e., exceto computadores	1264
55870	2829.2276 Máquinas e aparelhos para escritório, n.e., exceto computadores	1264
55871	2829.2280 Máquinas e aparelhos para limpeza industrial, n.e.	1264
55872	2829.2290 Máquinas para encher, fechar, embalar	1264
55873	2829.2310 Máquinas para lavar carrocerias de veículos - lava-jato	1264
55874	2829.2320 Máquinas para limpar ou secar garrafas e outros recipientes	1264
55875	2829.2330 Partes e peças para esterilizadores, exceto médico-cirúrgicos ou de laboratório	1264
55876	2829.2335 Máquinas para selecionar e contar moedas ou papéis-moeda, classificadoras automáticas de documentos, máquinas de preencher cheques	1264
55877	2829.2340 Partes e peças de aparelhos para filtrar ou depurar gases ou líquidos	1264
55878	2829.2345 Partes e peças de calandras e laminadores, exceto laminadoras de metais	1264
55879	2829.2350 Partes e peças para geradores de gás de ar, gás, água ou acetileno	1264
55880	2829.2360 Partes e peças para máquinas automáticas para venda de produtos	1264
55881	2829.2370 Partes e peças para máquinas de lavar louças, exceto para uso doméstico	1264
55882	2829.2380 Partes e peças para máquinas para encher, fechar, embalar	1264
55883	2829.2390 Partes e peças para máquinas para limpar ou secar garrafas e outros recipientes	1264
55884	2829.2400 Partes e peças para outras máquinas ou aparelhos sem conexão elétrica	1264
55885	2829.2410 Partes e peças para fogões, fornos e outros equipamentos semelhantes para restaurantes, lanchonetes, etc.; exceto para uso doméstico	1264
55886	2829.2415 Partes e peças para máquinas e aparelhos de impressão, para fotocópia ou termocópia, para escritório	1264
55887	2829.2420 Partes e peças para trocadores de calor	1264
55888	2829.2425 Partes, peças e acessórios para hemodialisador	1264
55889	2829.2435 Partes e peças para máquinas e aparelhos para escritório, n.e., exceto para computadores	1264
55890	2829.2445 Partes e peças para máquinas de escrever e para máquinas de calcular eletrônicas	1264
55891	2829.2450 Pesos e partes para balanças ou qualquer aparelho ou instrumento de pesagem	1264
55892	2829.2460 Pistolas aerográficas e aparelhos semelhantes	1264
55893	2829.2470 Tambores rotativos com pratos ou discos separadores, peso superior a 300kg	1264
55894	2829.2490 Torrefadores constituídos por recipientes rotativos, cilíndricos ou esféricos, para tratamento térmico de grãos (p. ex. café, cacau, cereais, nozes, etc.)	1264
55895	2829.2510 Trocadores de calor de placas (permutadores, intercambiadores)	1264
55896	2829.9010 Serviços de instalação e montagem de máquinas e equipamentos de uso geral, n.e., quando executados pela unidade fabricante	1264
55897	2829.9020 Serviço de produção de máquinas e equipamentos de uso geral, inclusive peças e serviços industriais relacionados	1264
55898	2829.9030 Serviço de produção de máquinas para escritório, inclusive peças e serviços industriais relacionados	1264
55899	2831 Fabricação de tratores agrícolas	1264
55900	2831.2010 Carrocerias para tratores agrícolas, inclusive as cabines	1264
55901	2831.2020 Peças e acessórios para tratores agrícolas	1264
55902	2831.2030 Tratores agrícolas de rodas, sem esteiras; inclusive motocultores	1264
55903	2831.9010 Serviço de produção de tratores agrícolas, inclusive peças e serviços industriais relacionados	1264
55904	2832 Fabricação de equipamentos para irrigação agrícola	1264
55905	2832.2010 Máquinas e aparelhos para irrigação para uso agrícola, inclusive sistemas de irrigação	1264
55906	2832.2020 Partes e peças para aparelhos para irrigação para uso agrícola (p. ex. bico aspersor, gotejadores, etc.)	1264
55907	2832.9010 Serviço de produção de equipamentos para irrigação agrícola, inclusive peças e serviços industriais relacionados	1264
55908	2833 Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação	1264
55909	2833.2010 Arados, charruas, grades, escarificadores, extirpadores, enxadas e sachadores, exceto ferramentas manuais	1264
55910	2833.2020 Ceifadeiras, inclusive as autopropelidas	1264
55911	2833.2025 Ceifadeiras, inclusive as autopropelidas; exceto ceifeiras-debulhadoras	1264
55912	2833.2030 Chocadeiras ou criadeiras	1264
55913	2833.2040 Cortadores de grama	1264
55914	2833.2050 Máquinas de ordenhar, inclusive robôs de ordenha	1264
55915	2833.2060 Máquinas e aparelhos para projetar ou pulverizar para uso agrícola	1264
55916	2833.2070 Máquinas para enfardar, colher, coletar e dispor palha ou forragem, inclusive as autopropelidas	1264
55917	2833.2080 Máquinas para limpar e selecionar ovos, frutas ou outros produtos agrícolas	1264
55918	2833.2090 Máquinas para limpeza, seleção, etc., de grãos	1264
55919	2833.2100 Máquinas para preparação de alimentos ou rações para animais	1264
55920	2833.2110 Máquinas agrícolas para o preparo do solo, n.e., inclusive as autopropelidas	1264
55921	2833.2120 Máquinas ou aparelhos para agricultura, silvicultura e pecuária, n.e.	1264
55922	2833.2130 Máquinas ou aparelhos para avicultura, n.e.	1264
55923	2833.2140 Máquinas para colheita, n.e., inclusive as autopropelidas	1264
55924	2833.2145 Máquinas para colheita (p. ex. ceifeiras-debulhadoras, debulhadores de espigas, etc.), n.e., inclusive as autopropelidas	1264
55925	2833.2150 Partes e peças de aparelhos para projetar ou pulverizar para uso agrícola	1264
